"","dataset.x","overall.d","ci_lower","ci_upper","short_name","dataset.y","overall.d.age","d.age","tau2","I2","H2","dataset","fsn_string","egg.random.z","egg.random.p","egg.random.z.age","egg.random.p.age"
"1","catBias",0.942342450412955,0.237050926370702,1.64763397445521,"catBias","catBias",1.53094396341652,-0.000377994589890875,9.78878255195829,97.9158805290023,47.9818942203575,"Categorization Bias",8390,5.48339970831044,4.172288549346e-08,5.38124904376417,7.39707730264654e-08
"2","gaze_following",1.27163322605183,0.928317537681766,1.61494891442189,"gaze_following","gaze_following",-1.15298085872439,0.00582337662359039,0.218050010975262,73.2274977395958,3.73517570480879,"Gaze following",4277,3.29593880535299,0.000980933797474684,2.32869549279916,0.0198752030686077
"3","idspref",0.721100645552326,0.536226247657231,0.905975043447422,"idspref","idspref",0.343645640720697,0.00273475070754708,0.298663926366983,74.546156311904,3.92867973989984,"Infant directed speech preference",3762,2.14097619211494,0.0322759580321836,1.26448854500003,0.206054729641146
"4","inphondb-native",0.592349301996462,0.488046035728792,0.696652568264132,"inphondb-native","inphondb-native",0.764564694580739,-0.000739230883816067,0.271143380767658,75.8353490938246,4.13827621132506,"Vowel discrimination (native)",9620,9.17218892100586,4.63509800204844e-20,8.86903447949602,7.37828313896223e-19
"5","inphondb-nonnative",0.659452761969099,0.415793984496766,0.903111539441432,"inphondb-nonnative","inphondb-nonnative",0.911648440897149,-0.001035533709136,0.604108001436863,87.3318196648281,7.89379353263234,"Vowel discrimination (non-native)",3391,3.85922927108089,0.000113745188150197,4.13326536754592,3.57645385687655e-05
"6","inworddb",0.2027119479114,0.156965626448049,0.248458269374751,"inworddb","inworddb",0.199897067374938,1.00714430101587e-05,0.125570585809559,81.7330206758886,5.47435885406656,"Word segmentation",6088,2.5754950202763,0.0100096714635014,2.57612770810744,0.00999137360937482
"7","labadv",0.398085687826752,0.290173734955161,0.505997640698342,"labadv","labadv",0.0528495736281519,0.00104155392117671,0.158531834111097,55.2311024386164,2.23369360085063,"Label advantage in concept learning",3928,0.57120482878395,0.567860805356178,0.309566468840102,0.756890658445436
"8","mutex",1.00858714300335,0.684503374745843,1.33267091126085,"mutex","mutex",-0.967793960207081,0.00234371723735545,0.753774004140389,85.799425609071,7.04196867303325,"Mutual exclusivity",6443,8.26311779783524,1.4191606598009e-16,6.24909047707303,4.12849720815245e-10
"9","phonotactics",0.0377992190373956,-0.0889624754879497,0.164560913562741,"phonotactics","phonotactics",0.22033947414456,-0.000611186222384238,0.135585387918855,75.7721117531228,4.12747487445132,"Phonotactic learning",45,-1.42956060419677,0.152843169292135,-1.07646158062738,0.281720874356171
"10","pointing_concurrent",0.979536739538348,0.619064862130878,1.34000861694582,"pointing_concurrent","pointing_concurrent",0.249001773854867,0.00112726584471017,0,0,1,"Pointing and vocabulary (concurrent)",1617,1.25041717831421,0.211147192590949,1.14726542476394,0.251271939133302
"11","pointing_longitudinal",0.53516234839714,0.305537979225891,0.76478671756839,"pointing_longitudinal","pointing_longitudinal",0.27535063463037,0.000476714781951855,0.0379942463429161,14.3469841633922,1.16750121432689,"Pointing and vocabulary (longitudinal)",1414,2.79969566840486,0.00511508055808872,2.87791882490333,0.00400308132283032
"12","sounds",-0.216608734017906,-0.43315217285188,-6.5295183933084e-05,"sounds","sounds",-0.198767951133173,-9.15698518763867e-05,0.168501730317697,83.0906393786632,5.91388416388828,"Statistical sound category learning",Inf,-2.668167202188,0.00762662931788937,-2.66540165239196,0.00768964198299721
"13","symbolism",0.115059072570507,-0.0155738598053361,0.24569200494635,"symbolism","symbolism",-0.0690056287108323,0.000465385202345419,0.0814910792524869,47.2949305853844,1.89735069340918,"Sound symbolism",526,1.42122154397262,0.155252363424869,1.73542954091665,0.0826647514459549
"14","word_recognition",1.33943128698405,0.859017061266737,1.81984551270136,"word_recognition","word_recognition",-1.11244395773165,0.0039779114475048,0.633468194792081,90.7188371504481,10.7745119465098,"Online word recognition",2043,2.73757031037296,0.00618948877364021,2.16372261428756,0.0304856443500483
